symbol,quarter,promoter,public
DHANUKA,2021-06-30,70.0,30.0
ERIS,2021-06-30,52.69,47.31
GANECOS,2021-06-30,42.14,57.86
GANESHBE,2021-06-30,43.14,56.86
GBGLOBAL,2021-06-30,99.95,0.05
GHCL,2021-06-30,19.18,80.83
HIKAL,2021-06-30,68.77,31.23
ICDSLTD,2021-06-30,52.21,47.79
IMFA,2021-06-30,58.69,41.32
INDLMETER,2021-06-30,37.33,62.67
INDUSINDBK,2021-06-30,16.54,83.46
INVENTURE,2021-06-30,27.59,72.41
JAYNECOIND,2021-06-30,70.98,29.02
JHS,2021-06-30,41.78,58.22
JINDALPHOT,2021-06-30,72.72,27.28
JINDALSTEL,2021-06-30,60.47,39.53
KIRLOSBROS,2021-06-30,65.95,34.05
KSOILS,2021-06-30,7.54,92.46
LINCOLN,2021-06-30,37.06,62.94
LXCHEM,2021-06-30,72.92,27.08
MAGNUM,2021-06-30,53.18,46.82
MAHESHWARI,2021-06-30,57.4,42.41
MANINDS,2021-06-30,42.62,57.38
MARATHON,2021-06-30,74.97,25.03
MITCON,2021-06-30,0.0,100.0
MODTHREAD,2021-06-30,65.1,34.9
MONTECARLO,2021-06-30,73.17,26.84
MSPL,2021-06-30,41.62,58.38
MURUDCERA,2021-06-30,69.85,30.15
NARMADA,2021-06-30,68.91,31.1
NATHBIOGEN,2021-06-30,41.03,58.97
NEUEON,2021-06-30,37.27,62.73
NIRAJISPAT,2021-06-30,74.59,25.42
PREMIER,2021-06-30,27.5,72.5
PUNJLLOYD,2021-06-30,7.72,92.28
RAJESHEXPO,2021-06-30,54.05,45.95
REGENCERAM,2021-06-30,60.59,39.41
RESPONIND,2021-06-30,50.13,49.87
SANDHAR,2021-06-30,70.37,29.63
SANWARIA,2021-06-30,16.73,83.27
SHALPAINTS,2021-06-30,53.1,46.9
